Month,DAY,count
1,25,4786
1,7,7682
1,20,4137
1,2,8585
1,9,7657
1,22,5345
1,1,5958
1,3,10170
1,11,6644
1,4,11315
1,26,5295
1,8,6915
1,16,5670
1,19,4441
1,23,5511
1,27,2339
1,18,4071
1,14,4587
1,30,6228
1,21,5255
1,17,2660
1,28,3567
1,29,4916
1,31,3186
1,12,8752
1,5,9500
1,15,6083
1,13,5690
1,24,3753
1,6,8604
1,10,4502
2,2,6544
2,26,9337
2,19,7579
2,3,6022
2,22,8089
2,17,8524
2,14,4838
2,5,7610
2,28,5540
2,9,5772
2,15,5480
2,21,5474
2,1,4602
2,18,7692
2,20,7820
2,4,6141
2,25,6728
2,24,6803
2,11,4357
2,12,6646
2,10,4137
2,23,7469
2,27,7597
2,8,4750
2,7,2750
2,13,6796
2,16,8516
2,6,4851
3,22,5865
3,15,5910
3,30,5293
3,1,8580
3,13,6737
3,18,5132
3,10,5194
3,5,7361
3,20,7377
3,26,7590
3,3,8612
3,17,5005
3,19,5781
3,11,6050
3,14,5404
3,6,8749
3,27,7783
3,25,6376
3,9,5672
3,21,5371
3,2,9247
3,29,4824
3,12,6816
3,8,5994
3,4,7254
3,31,4798
3,16,4864
3,7,5069
3,24,5076
3,23,6864
3,28,4458
4,10,8668
4,7,6019
4,27,5852
4,22,4920
4,24,7487
4,11,3921
4,9,8191
4,28,4180
4,30,4851
4,17,6513
4,13,7291
4,15,5395
4,23,5975
4,3,6575
4,20,7194
4,6,5381
4,21,4772
4,25,5239
4,19,5665
4,26,4937
4,14,5264
4,2,7408
4,18,3814
4,4,3959
4,1,5425
4,8,7182
4,16,6964
4,5,4757
4,29,3776
4,12,5180
5,16,4188
5,30,4212
5,22,5990
5,28,6631
5,7,5653
5,6,5165
5,21,7284
5,24,3217
5,4,5123
5,17,6320
5,12,5151
5,23,3789
5,13,5438
5,20,6675
5,10,6457
5,31,6757
5,19,7650
5,29,6285
5,8,6919
5,18,8523
5,15,6741
5,26,7181
5,2,2780
5,1,4433
5,3,4521
5,27,7758
5,9,4975
5,11,7827
5,14,5804
5,5,4640
5,25,4911
6,20,6124
6,1,7401
6,22,7379
6,25,7803
6,17,8222
6,8,6791
6,5,6691
6,12,8487
6,13,5795
6,24,7330
6,18,9526
6,21,7132
6,15,8293
6,27,7119
6,23,7237
6,7,6062
6,3,5459
6,30,7676
6,2,6181
6,10,7460
6,26,8329
6,14,7318
6,11,8028
6,29,6590
6,16,8399
6,6,3768
6,28,7143
6,19,7759
6,9,7380
6,4,5711
7,21,7159
7,4,2581
7,31,7186
7,14,8335
7,25,5083
7,1,7948
7,20,6161
7,28,6483
7,26,5766
7,15,8341
7,22,6119
7,19,7215
7,23,7099
7,2,7925
7,9,7352
7,3,5001
7,12,5751
7,11,4391
7,16,6644
7,27,6235
7,17,6462
7,18,7846
7,5,5436
7,24,6427
7,29,6721
7,8,8335
7,13,7974
7,30,7838
7,7,7744
7,10,6025
7,6,7585
8,9,5640
8,3,6901
8,20,8876
8,25,4794
8,26,4043
8,13,6365
8,28,4004
8,14,6522
8,12,5684
8,31,4552
8,10,7509
8,19,7349
8,5,6718
8,1,6326
8,11,8354
8,18,6909
8,8,5098
8,17,6944
8,7,7423
8,2,6224
8,4,7056
8,15,5740
8,27,4773
8,21,6743
8,22,3690
8,24,4855
8,30,4236
8,29,3147
8,6,7366
8,23,6519
8,16,6567
9,10,6591
9,16,4387
9,4,6511
9,13,4788
9,1,3008
9,7,3399
9,26,2948
9,27,4563
9,12,3474
9,21,4265
9,3,5941
9,2,4338
9,30,5138
9,11,5364
9,8,5896
9,5,3099
9,20,3961
9,22,3087
9,24,4254
9,18,5855
9,15,3683
9,14,4174
9,25,5482
9,9,5133
9,28,4765
9,29,4665
9,23,3194
9,6,2293
9,19,3004
9,17,6478
10,2,7091
10,15,5089
10,24,3815
10,20,3546
10,27,3609
10,13,3249
10,18,5254
10,16,5817
10,5,4647
10,6,3688
10,25,4653
10,29,5053
10,4,5023
10,1,6477
10,19,4396
10,9,6416
10,26,4915
10,3,3679
10,12,3667
10,22,5211
10,28,5564
10,11,4964
10,17,2923
10,10,3690
10,14,3588
10,7,3718
10,30,4954
10,21,4048
10,31,3499
10,23,6273
10,8,4734
11,23,3855
11,8,4325
11,6,6310
11,1,5122
11,16,5770
11,27,3550
11,4,4606
11,7,3118
11,19,6544
11,5,6880
11,21,5050
11,9,5066
11,3,3513
11,28,5733
11,26,2253
11,13,4697
11,22,5741
11,18,7117
11,20,6305
11,30,6526
11,11,5175
11,14,2488
11,17,6618
11,15,4719
11,25,3829
11,2,6133
11,24,4545
11,12,5900
11,10,4575
11,29,6624
12,30,10586
12,19,5853
12,7,4521
12,17,7846
12,2,6526
12,20,6166
12,1,6016
12,27,9286
12,5,2415
12,28,8199
12,24,5808
12,15,4448
12,21,6960
12,14,5775
12,29,9784
12,8,2954
12,12,3167
12,25,4494
12,4,3812
12,23,9892
12,9,3426
12,31,4944
12,18,7831
12,26,7689
12,6,3728
12,11,4817
12,13,4896
12,10,4810
12,16,5856
12,22,8750
12,3,5337
